Company,Industry,Ticker,Type,Market,Seniority,ISIN,Currency,State,Moody's,S&P,Fitch,Country,Ownership,Maturity,Next Payment,Coupon Type,Coupon Frequency,Coupon,Current Yield,YTM / YTC,Price,Available
British Petroleum,"Energy, Utilities & Infrastructure",BPLN,Perpetual,Main Market,Unsecured,XS2193663619,GBP,Open,Baa1,BBB,BBB+,UK,Public,22-03-2027,22-06-2023,Fixed,Annual,4.25%,4.775,7.163,89.0000,84414.7500
Virgin Media,Cable & Telecoms,VRGMDF,Bond,Main Market,Senior Secured,XS2187646901,GBP,Open,B2,B,B+,UK,Private,15-07-2028,15-01-2023,Fixed,Biannual,4.875%,5.769,8.366,84.5000,79047.0600
Atalian,"Business Services, Shipping & Logistics",ATALIA,Bond,Main Market,Unsecured,XS1820760079,GBP,Suspended,Caa1,B,,France,Private,15-05-2025,15-12-2022,Fixed,Biannual,6.625%,6.559,6.186,101.0000,37504.8000
Domestic & General,Consumer & Food,DGGLN_2026,Bond,Main Market,Senior Secured,XS2028892474,GBP,Open,B2,B,,UK,Private,31-07-2026,28-02-2023,Fixed,Biannual,6.5%,7.784,12.159,83.5000,24914.6400
Domestic & General,Consumer & Food,DGGLN_2027,Bond,High Yield,Unsecured,XS2028892987,GBP,Open,Caa1,CCC+,,UK,Private,31-07-2027,28-02-2023,Fixed,Biannual,9.25%,11.437,15.061,80.8750,0
Talk Talk,Cable & Telecoms,TALKLN,Bond,Main Market,Unsecured,XS2121167345,GBP,Open,,B,B+,UK,Public,20-02-2025,20-02-2023,Fixed,Biannual,3.875%,4.762,13.737,81.3750,111112.5900
True Potential,Banks & Financials,TRUEPT_6.5,Bond,Main Market,Senior Secured,XS2436314160,GBP,Open,B1,B,,United Kingdom,Private,15-02-2027,15-02-2023,Fixed,Biannual,6.5%,7.988,12.250,81.3750,18105.2000
SSE,"Energy, Utilities & Infrastructure",SSELN,Perpetual,Main Market,Unsecured,XS2195190876,GBP,Open,Baa3,BBB-,BBB-,UK,Public,14-01-2026,14-04-2023,Fixed,Annual,3.74%,4.156,7.269,90.0000,0
Centrica,"Energy, Utilities & Infrastructure",CNALN,Bond,Main Market,Unsecured,XS1216019585,GBP,Open,Ba1,BB+,WD,UK,Public,10-04-2075,10-04-2023,Fixed,Biannual,5.25%,5.907,5.943,88.8750,36802.2900
Ocado,Technology,OCDOLN,Bond,Main Market,Unsecured,XS2393761692,GBP,Open,B3,,B+,UK,Public,08-10-2026,08-04-2023,Fixed,Biannual,3.875%,4.905,10.597,79.0000,144802.7100
